molecule,Compound,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
97_0-wt-1,CC(C)(C)NC1=CC(=O)C(=CC1=O)NC(C)(C)C,0,0,0,0,0,5,0,0,250.34,4.434,532.817,402.764,81.262,48.791,0,921.522,1,4.75,0.021334,0.0089149,0.8595231,27.981,7.922,12.753,6.926,2.557,-3.485,-2.74,-4.038,1679.941,-0.471,866.695,-2.365,8.939,0.836,2,0.012,3,100,0,0,61.636,4,0,6,0,6,1,18,0,0.339
97_0-wt-1,CC(C)(C)NC1=CC(=O)C(=CC1=O)NC(C)(C)C,1,0,0,0,0,4,0,-1,250.34,0.001,540.805,402.405,119.904,18.497,0,925.287,2,6,0,0.0156901,0.8491316,28.484,8.202,14.911,9.919,1.698,-3.438,-2.386,-4.061,722.518,-0.786,348.163,-3.28,8.55,1.136,4,-0.16,3,88.054,0,0,77.804,4,0,6,0,6,0,18,0,0.048
97_1-wt-1,CC(C)(C)Nc1cc(O)c(NC(C)(C)C)cc1[O],1,0,0,0,0,6,0,-1,252.356,1.962,544.555,399.706,104.856,39.993,0,932.475,4,3.5,0.0041286,0.0128545,0.8476469,27.693,8.767,16.139,9.997,2.366,-3.406,-3.025,-4.188,1003.567,-0.771,496.617,-2.735,7.516,-0.453,7,-0.048,3,94.52,0,0,64.419,4,0,6,0,6,0,18,1,0.183
97_1-wt-1,CC(C)(C)Nc1cc(O)c(NC(C)(C)C)cc1[O],1,0,0,0,0,6,0,-1,252.356,1.767,543.768,399.804,104.584,39.38,0,931.137,4,3.5,0.0033531,0.0128731,0.8480616,27.634,8.749,16.106,9.989,2.359,-3.393,-3.025,-4.178,1009.556,-0.768,499.821,-2.732,7.445,-0.503,7,-0.051,3,94.527,0,0,64.157,4,0,6,0,6,0,18,1,0.189
97_1-wt-1,CC(C)(C)Nc1cc(O)c(NC(C)(C)C)cc1[O],2,0,0,0,0,6,0,-1,252.356,0.002,542.502,399.439,103.325,39.738,0,928.444,4,3.5,0,0.0129032,0.8484002,27.529,8.717,16.018,9.98,2.352,-3.372,-3.025,-4.175,1037.691,-0.755,514.894,-2.708,7.046,-0.628,7,-0.057,3,94.699,0,0,63.469,4,0,6,0,6,0,18,1,0.21
98_0-wt-1,CC1=C(O)C(=O)C=CC1=O,1,0,0,0,0,1,2,-1,138.123,7.995,323.343,80.576,151.37,91.397,0,493.652,1,4.75,0.1294734,0.0146903,0.93422,13.833,4.894,9.95,8.071,-0.386,-0.761,-0.801,-3.032,363.463,-0.653,165.676,-3.891,9.476,1.638,2,-0.81,2,70.51,0,0,77.516,3,0,6,0,6,0,10,0,3.073
98_1-wt-1,Cc1c(O)ccc([O])c1O,2,0,0,0,0,3,0,-1,140.138,3.626,326.591,78.705,137.152,110.734,0,498.532,3,2.25,0.0263676,0.0119327,0.9310146,12.928,5.403,9.667,8.139,0.334,-0.728,-1.429,-3.176,495.782,-0.672,231.737,-3.369,8.7,-0.194,4,-0.701,3,77.145,0,0,63.614,3,0,6,0,6,0,10,0,11.217
99_0-wt-1,CC1=C(O)C(=O)C(=C(Br)C1=O)Br,1,0,0,0,0,1,2,-1,295.915,6.777,373.97,80.307,136.191,25.067,132.406,593.923,1,4.75,0.0773392,0.0127016,0.9137239,17.212,6.128,10.858,7.685,0.712,-2.099,-3.701,-3.048,506.291,-0.259,1259.388,-3.845,9.696,2.026,2,-0.605,3,79.518,0,0,75.452,3,0,6,0,6,0,12,0,0.336
99_1-wt-1,Cc1c(O)c([O])c(Br)c(Br)c1O,0,0,0,0,0,3,0,-1,297.931,2.165,373.493,79.419,120.926,43.801,129.346,592.363,3,2.25,0.00791,0.0104342,0.9132877,16.044,6.564,10.927,7.732,1.335,-2.03,-4.419,-3.144,706.571,-0.266,1737.261,-3.306,8.98,0.752,4,-0.494,3,85.756,0,0,60.82,3,0,6,0,6,0,12,0,1.374
99_1-wt-1,Cc1c(O)c([O])c(Br)c(Br)c1O,0,0,0,0,0,3,0,-1,297.931,1.381,374.158,78.509,121.949,43.762,129.937,593.504,3,2.25,0.0032121,0.0104157,0.9128358,16.09,6.583,10.886,7.741,1.337,-2.044,-4.419,-3.151,690.961,-0.274,1708.503,-3.325,9.02,0.98,4,-0.491,3,85.593,0,0,61.39,3,0,6,0,6,0,12,0,1.275
